Column1.facilityId,Column1.facilityName,Column1.zipCode,Column1.prefName,Column1.facilityAddr,Column1.facilityTel,Column1.latitude,Column1.longitude,Column1.submitDate,Column1.facilityType,Column1.ansType,Column1.localGovCode,Column1.cityName,Column1.facilityCode
0110515913,医療法人美脳　札幌美しが丘脳神経外科病院,〒004-0834,北海道,札幌市清田区真栄４条５丁目,0115582200,42.9821207,141.4486881,2021-12-29,入院,未回答,011002,札幌市,0110515913
10101075,医療法人　資生会　創成東病院,〒060-0053,北海道,札幌市中央区南３条東３丁目１３番地,0112222117,43.0582096,141.3617177,2021-12-29,入院,通常,011002,札幌市,0110117785
10101076,医療法人社団明日佳　札幌明日佳病院,〒064-0951,北海道,札幌市中央区宮の森１条１７丁目１番２５号,0116418813,43.0430307,141.2934686,2021-12-29,入院,通常,011002,札幌市,0110114360
10101077,医療法人社団　清和会　南札幌病院,〒064-0809,北海道,札幌市中央区南９条西７丁目１番２３号,0115113368,43.0483002,141.3483322,2021-12-29,入院,通常,011002,札幌市,0110117702
10101078,医療法人　桑園中央病院,〒060-0008,北海道,札幌市中央区北８条西１６丁目２８－３５,0116211023,43.0685055,141.3304,2021-12-29,入院,通常,011002,札幌市,0110116589
10101079,札幌中央病院,〒064-0809,北海道,札幌市中央区南９条西１０丁目１番５０号,0115130111,43.0475567,141.3431838,2021-12-29,入院,通常,011002,札幌市,0110113420
10101080,一般財団法人　札幌同交会病院,〒060-0062,北海道,札幌市中央区南２条西１９丁目２９１番地,0116119131,43.0544876,141.3291867,2021-12-29,入院,通常,011002,札幌市,0110410420
10101081,札幌渓仁会リハビリテーション病院,〒060-0010,北海道,札幌市中央区北１０条西１７丁目３６－１３,0116407012,43.0704379,141.3279824,2021-12-29,入院,通常,011002,札幌市,0110612108
10101082,医療法人社団　いとう整形外科病院,〒060-0062,北海道,札幌市中央区南２条西１０丁目５番地,0112415461,43.0566419,141.3422861,2021-12-29,入院,制限,011002,札幌市,0110114865
10101083,社会福祉法人　札幌慈啓会　慈啓会病院,〒064-0941,北海道,札幌市中央区旭ケ丘５丁目６番５０号,0115618292,43.0364801,141.3229341,2021-12-29,入院,通常,011002,札幌市,0110410545
