世田谷地域の公衆浴場一覧,,,
番号,住所,浴場名,電話番号
1,太子堂2-33-10,富士見湯,03-3421-0771
2,太子堂5-21-4,八幡湯,03-3422-3275
3,三軒茶屋2-12-7,千代乃湯,03-3410-2535
4,三軒茶屋2-17-13,駒の湯,03-3421-4513
5,下馬2-36-15,弘善湯,03-3410-4126
6,桜丘2-18-26,世田谷温泉四季の湯,03-3427-6312
,,,
北沢地域の公衆浴場一覧,,,
番号,住所,浴場名,電話番号
7,豪徳寺1-23-20,鶴の湯,03-3426-2360
8,代田5-11-7,新寿湯,03-3421-1126
9,羽根木1-14-11,宇田川湯,03-3328-2574
10,北沢3-12-8,石川湯,03-3466-4305
11,松原2-31-12,松原湯,03-3321-4624
12,梅丘2-14-15,山崎湯,03-3427-1856
13,赤堤5-36-16,月見湯温泉,03-3321-6738
,,,
玉川地域の公衆浴場一覧,,,
番号,住所,浴場名,電話番号
14,奥沢4-24-2,松の湯,03-3720-5253
15,用賀4-31-3,栄湯,03-3700-8102
16,玉川台2-1-16,藤の湯,03-3700-3920
17,新町1-36-6,栗の湯（休業中）,03-3702-3305
,,,
砧地域の公衆浴場一覧,,,
番号,住所,浴場名,電話番号
18,祖師谷1-24-1,湯パークレビランド,03-3484-6768
19,祖師谷3-36-21,そしがや温泉21,03-3483-2611
20,喜多見4-36-16,丸正浴場,03-3417-6804
,,,
烏山地域の公衆浴場一覧,,,
番号,住所,浴場名,電話番号
21,上北沢4-10-11,北沢湯,03-3302-5265
22,給田3-1-28,給田湯,03-3300-2871
23,南烏山5-21-15,増穂湯,03-3300-2664
